,uid,iid,ts
0,1186,3546,-0.6516681120117708
1,762,367,1.0572918052291869
2,2332,1914,0.5884087682055464
3,1640,1588,-0.015444237380551033
4,1194,3046,-0.07059970152657245
5,2510,1744,-0.8469452645047486
6,73,1907,1.485181880932749
7,1015,2807,0.1149215519444838
8,465,520,-1.3478601665093592
9,2188,1834,-0.2933616324944172
10,1506,2118,-0.29830613758428226
11,1463,3116,-0.8356762673136502
12,1962,23,-0.39648776699573884
13,835,3323,0.36400684367663383
14,135,2795,-0.13115676537793558
15,1688,1447,0.9806684185965132
16,270,2303,0.2496036782376659
17,502,516,0.5785465710110351
18,312,654,0.6515266227384586
19,777,2114,-0.2874101144494209
20,1351,3367,-1.3189430224316545
21,917,1423,1.0259645619240045
22,787,408,0.47695797398344786
23,1483,819,-0.43620631218964323
24,2453,677,0.4846688932988569
25,1156,2879,0.14342069412985836
26,1091,3033,-1.1985036177657518
27,2026,2224,2.617997758352668
28,2135,3307,1.8397921701127153
29,233,305,2.1540266834722237
30,214,643,-0.9570591878818923
31,783,355,0.3043001380820002
32,1890,677,1.2020052856795584
33,356,343,-1.4144045788786304
34,1091,1700,1.032730205169207
35,389,3579,-1.729800544754924
36,975,1461,-0.11364538796884154
37,1052,1123,1.1317893317618564
38,305,862,-0.29033581705509537
39,699,1105,-0.2438576954624599
40,1024,215,0.19144631306975898
41,920,122,0.6086734860209772
42,856,879,0.7708144975330706
43,746,3738,-0.4784904252287157
44,1710,2921,-0.948538716162426
45,1246,1010,-2.365040884754262
46,812,2041,-0.7440345412029306
47,2431,3474,0.28265995877373495
48,491,3220,-1.2877056993658433
49,1184,7,-1.4401550177121079
50,2377,3261,1.9738752951155192
51,1822,2973,0.5412415809378611
52,16,713,-0.5903385000235909
53,1836,1233,-1.0436025831991522
54,36,1116,0.07901828408631034
55,1846,2739,0.6671416753161871
56,978,2954,0.6832575601374941
57,18,742,-1.526222923188455
58,2274,1285,-0.054895788912879
59,1227,1692,1.2651894634346856
60,1851,3633,1.0283471971251037
61,934,242,0.04840245566395056
62,2464,3101,-0.9242744501639377
63,691,299,-1.6012268463462747
64,1570,2868,0.794664169205237
65,103,323,-2.5116145140063004
66,98,2343,1.8467790409251867
67,55,1662,0.831201938281798
68,2206,2597,-0.18317667471130142
69,1187,351,-0.33419370067568904
70,59,1378,0.8645380379413988
71,1422,795,1.921509266010796
72,2023,1557,0.3794780629259462
73,1122,2130,-0.15184189535991327
74,800,1774,-0.7809976377874557
75,123,2485,1.0595834808207092
76,2511,3168,0.03018993418864086
77,301,1781,0.49222664113418135
78,845,628,-1.7895887476401993
79,1891,2050,-2.271714796467589
80,1557,1219,-1.4948291594621095
81,211,3104,-0.46707860315692235
82,134,1297,0.09456350777763917
83,935,208,-1.8824346415900914
84,2068,3508,0.2832465950340735
85,2067,2684,-0.7296421513909128
86,349,292,0.6456401289372545
87,620,1630,0.544476201973991
88,734,1451,0.4625473446315639
89,95,1182,-0.6626478165708947
90,1897,1399,0.19632099559017752
91,559,389,0.76054009995728
92,744,484,0.9324513265483056
93,1993,3073,0.6559187285924735
94,81,2002,-0.2825348169007806
95,575,793,1.6593630072191274
96,614,250,-1.810096121187255
97,28,876,1.7889012372014048
98,264,867,-1.388673737092834
99,1977,2332,-0.9928543560921592
100,2142,1727,0.33888334117446384
101,106,555,1.3377407715328262
102,2405,1795,0.34482261315547835
103,1190,3275,-2.2851038429423327
104,335,343,-0.17753292969476173
105,620,2012,1.2382194994759872
106,932,1595,0.5072220879744185
107,252,418,-0.3269058566624175
108,1750,2531,-1.0416417062482437
109,35,1097,-1.1344204459588085
110,1793,418,0.3252017740715791
111,2034,1990,-2.0030352594381426
112,179,847,2.3565879069225866
113,1364,1553,-0.3057675370197711
114,618,781,1.0485533942338399
115,1875,995,-1.1651800475082468
116,2493,67,0.24932742767187246
117,1270,3005,1.5149825791805065
118,87,2125,0.0729559697986585
119,1122,736,-0.22197409130371648
120,993,3688,0.7789955926120048
121,877,167,-1.4629029425068312
122,242,560,-2.468255857520857
123,577,2219,-0.0021416799110388204
124,363,3560,2.259359024067873
125,413,1077,0.20462126057345095
126,2223,3095,-0.6954795042500043
127,238,3303,-0.7150392617342157
128,1939,1216,-0.04510021799462186
129,188,854,0.2134808865991841
130,1174,2619,1.1857998368554168
131,54,762,-1.1779775587838492
132,2135,3783,0.3379415220398001
133,34,1087,-1.545828718960001
134,1259,43,1.7531507268874083
